group,participant,rotated_b,passive_b,handangle_deg,bias_deg
30explicit,exp001,0,0,50,-5.52709434288376
30explicit,exp001,0,0,90,-4.42359424233566
30explicit,exp001,0,0,130,5.00260786250173
30explicit,exp002,0,0,50,-15.4906521919266
30explicit,exp002,0,0,90,-11.9356363669033
30explicit,exp002,0,0,130,-7.64786512637376
30explicit,exp003,0,0,50,-11.2835813799145
30explicit,exp003,0,0,90,-3.43842010730263
30explicit,exp003,0,0,130,3.98807351842838
30explicit,exp004,0,0,50,-7.39263532333815
30explicit,exp004,0,0,90,-4.30118435859855
30explicit,exp004,0,0,130,2.15056169287944
30explicit,exp005,0,0,50,-10.1404725182784
30explicit,exp005,0,0,90,2.77897313312012
30explicit,exp005,0,0,130,6.42988347470528
30explicit,exp006,0,0,50,-5.06059592492161
30explicit,exp006,0,0,90,-3.16859456614784
30explicit,exp006,0,0,130,0.0708848971021835
30explicit,exp007,0,0,50,1.87977251815365
30explicit,exp007,0,0,90,3.46779543205335
30explicit,exp007,0,0,130,-0.691171480706454
30explicit,exp008,0,0,50,-12.8578048912023
30explicit,exp008,0,0,90,-2.42762574483964
30explicit,exp008,0,0,130,8.04828602781502
30explicit,exp009,0,0,50,-11.6368018672793
30explicit,exp009,0,0,90,-5.38952594776472
30explicit,exp009,0,0,130,0.00144304538244895
30explicit,exp010,0,0,50,-4.73904986782798
30explicit,exp010,0,0,90,-9.15847827626802
30explicit,exp010,0,0,130,-5.43577867261402
30explicit,exp011,0,0,50,-6.46438663811925
30explicit,exp011,0,0,90,-6.04691964750362
30explicit,exp011,0,0,130,-7.26002264035659
30explicit,exp012,0,0,50,-9.89029583341391
30explicit,exp012,0,0,90,-8.58867766220571
30explicit,exp012,0,0,130,0.0194543580446333
30explicit,exp013,0,0,50,-0.739731007760451
30explicit,exp013,0,0,90,-5.18831811199399
30explicit,exp013,0,0,130,1.80449369429156
30explicit,exp014,0,0,50,-2.4880720503978
30explicit,exp014,0,0,90,0.179666411491985
30explicit,exp014,0,0,130,0.0239352174950551
30explicit,exp015,0,0,50,-10.2053790904285
30explicit,exp015,0,0,90,-2.59786042967133
30explicit,exp015,0,0,130,2.6278642963988
30explicit,exp016,0,0,50,-16.4855671711556
30explicit,exp016,0,0,90,-12.1182096071823
30explicit,exp016,0,0,130,-3.93240258089408
30explicit,exp017,0,0,50,-7.94618594352073
30explicit,exp017,0,0,90,-3.47963049205019
30explicit,exp017,0,0,130,-3.177675682887
30explicit,exp018,0,0,50,-3.02357542422056
30explicit,exp018,0,0,90,0.535328436768562
30explicit,exp018,0,0,130,3.2342998026591
30explicit,exp019,0,0,50,-4.7364307922731
30explicit,exp019,0,0,90,-5.79437555031471
30explicit,exp019,0,0,130,-5.94379805172629
30explicit,exp020,0,0,50,-1.78210065229508
30explicit,exp020,0,0,90,4.52608934129821
30explicit,exp020,0,0,130,9.87165141206258
30explicit,exp021,0,0,50,-4.32216704269565
30explicit,exp021,0,0,90,-5.11735184214377
30explicit,exp021,0,0,130,-5.80787917138722
30explicit,exp001,1,0,50,-19.7460982796472
30explicit,exp001,1,0,90,-11.4524442409201
30explicit,exp001,1,0,130,-13.5985702024523
30explicit,exp002,1,0,50,-20.0749271423493
30explicit,exp002,1,0,90,-18.0037913220705
30explicit,exp002,1,0,130,-19.6108521737584
30explicit,exp003,1,0,50,-20.2288374499653
30explicit,exp003,1,0,90,-15.2066783241232
30explicit,exp003,1,0,130,-7.70314183723148
30explicit,exp004,1,0,50,-18.3779524685114
30explicit,exp004,1,0,90,-19.1655996761429
30explicit,exp004,1,0,130,-12.8917530275381
30explicit,exp005,1,0,50,-20.278924694603
30explicit,exp005,1,0,90,-9.55248122649285
30explicit,exp005,1,0,130,-7.02914395393914
30explicit,exp006,1,0,50,-22.3754907668582
30explicit,exp006,1,0,90,-25.4123886462722
30explicit,exp006,1,0,130,-24.3306779318264
30explicit,exp007,1,0,50,-2.1344459668166
30explicit,exp007,1,0,90,-2.08573408602915
30explicit,exp007,1,0,130,-6.35475671915626
30explicit,exp008,1,0,50,-35.0529619586149
30explicit,exp008,1,0,90,-15.9447480975446
30explicit,exp008,1,0,130,-4.89391541470298
30explicit,exp009,1,0,50,-21.3059352755426
30explicit,exp009,1,0,90,-12.1819253266382
30explicit,exp009,1,0,130,-7.03786950332416
30explicit,exp010,1,0,50,-25.2560430721742
30explicit,exp010,1,0,90,-15.8914799956062
30explicit,exp010,1,0,130,-8.93610994501476
30explicit,exp011,1,0,50,-18.3843877682219
30explicit,exp011,1,0,90,-19.5361862044924
30explicit,exp011,1,0,130,-19.5983769553265
30explicit,exp012,1,0,50,-11.8456487247586
30explicit,exp012,1,0,90,-15.6746988070109
30explicit,exp012,1,0,130,-12.9772052742657
30explicit,exp013,1,0,50,-4.34736186176079
30explicit,exp013,1,0,90,-8.07584027252233
30explicit,exp013,1,0,130,-9.03002768726971
30explicit,exp014,1,0,50,-14.0871969030771
30explicit,exp014,1,0,90,-7.4178566661298
30explicit,exp014,1,0,130,-3.59007983179475
30explicit,exp015,1,0,50,-18.5544170080501
30explicit,exp015,1,0,90,-12.9780925230495
30explicit,exp015,1,0,130,-6.84266174598101
30explicit,exp016,1,0,50,-7.09549400748783
30explicit,exp016,1,0,90,-6.61874397689487
30explicit,exp016,1,0,130,-5.69508171279421
30explicit,exp017,1,0,50,-3.76208471602022
30explicit,exp017,1,0,90,-9.67586352446333
30explicit,exp017,1,0,130,-12.4727418716669
30explicit,exp018,1,0,50,-11.4402658555567
30explicit,exp018,1,0,90,-8.94995780345751
30explicit,exp018,1,0,130,-12.4453614264243
30explicit,exp019,1,0,50,-2.39131514385058
30explicit,exp019,1,0,90,-4.30021175641482
30explicit,exp019,1,0,130,-6.57836938799149
30explicit,exp020,1,0,50,-7.03260028059751
30explicit,exp020,1,0,90,-3.1142187125338
30explicit,exp020,1,0,130,3.80688543540452
30explicit,exp021,1,0,50,-13.4501878893397
30explicit,exp021,1,0,90,-15.5245472692777
30explicit,exp021,1,0,130,-24.574297397758
30explicit,exp001,0,1,50,-8.32283625863607
30explicit,exp001,0,1,90,-6.7146715415691
30explicit,exp001,0,1,130,2.26793197963281
30explicit,exp002,0,1,50,-28.8044444662581
30explicit,exp002,0,1,90,-17.1500034906803
30explicit,exp002,0,1,130,-0.646983965958154
30explicit,exp003,0,1,50,-14.7811710495775
30explicit,exp003,0,1,90,-11.7752980315566
30explicit,exp003,0,1,130,-0.556995485503277
30explicit,exp004,0,1,50,-8.86450678096135
30explicit,exp004,0,1,90,-6.1527826392523
30explicit,exp004,0,1,130,4.52993138239979
30explicit,exp005,0,1,50,-13.4602184468188
30explicit,exp005,0,1,90,-0.106820201130107
30explicit,exp005,0,1,130,5.15888362144837
30explicit,exp006,0,1,50,-16.8311468278016
30explicit,exp006,0,1,90,-8.43773058392932
30explicit,exp006,0,1,130,-2.97762567075527
30explicit,exp007,0,1,50,-0.467884934573657
30explicit,exp007,0,1,90,-0.285772356825789
30explicit,exp007,0,1,130,-3.41372979201685
30explicit,exp008,0,1,50,-0.602948399343926
30explicit,exp008,0,1,90,6.32348902651714
30explicit,exp008,0,1,130,15.1378578998323
30explicit,exp009,0,1,50,-17.6638333243512
30explicit,exp009,0,1,90,-4.40072594722931
