participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
exp001,0,0,1,46,90,84.4907055598188,87.3397486804812
exp001,0,0,1,47,130,129.020548318952,138.954076618609
exp001,0,0,1,48,50,31.6154797077685,30.0143531413005
exp001,0,0,1,49,50,57.0521796745125,60.7544071246261
exp001,0,0,1,50,90,89.8943403345886,83.6531967668418
exp001,0,0,1,51,130,142.482363244607,155.42004253694
exp001,0,0,1,52,50,68.5217167489359,70.3644450471662
exp001,0,0,1,53,130,129.960342353749,135.42696137852
exp001,0,0,1,54,90,69.8921385788135,71.2921969465788
exp001,0,0,1,55,50,23.5839942803904,21.7588409759652
exp001,0,0,1,56,90,86.5295598980751,89.0646018465629
exp001,0,0,1,57,130,124.23689682554,141.206217633509
exp001,0,0,1,58,90,71.3485586874208,76.9772405179077
exp001,0,0,1,59,50,56.2125189275971,44.7061108015116
exp001,0,0,1,60,130,102.576107461351,105.965843161257
exp001,0,0,1,61,90,113.633563856732,112.279436265036
exp001,0,0,1,62,50,63.5836682832572,54.257997691598
exp001,0,0,1,63,130,106.558895907672,106.578685112581
exp001,0,0,2,118,50,42.1834114473482,45.4902671269521
exp001,0,0,2,120,90,97.6969676891473,83.7595733328046
exp001,0,0,2,121,50,47.4331860637869,46.5386347008411
exp001,0,0,2,122,130,129.147921794459,131.127464206984
exp001,0,0,2,123,90,119.094825818203,116.427761657979
exp001,0,0,2,124,90,60.1725023077507,66.5875772283703
exp001,0,0,2,125,130,129.435446657773,142.5903114591
exp001,0,0,2,126,50,46.5869290499935,45.5045857262465
exp001,0,0,2,127,90,88.4223451601002,83.69778051823
exp001,0,0,2,128,130,101.744959637715,102.785659204856
exp001,0,0,2,129,50,73.1830830232756,67.7568575385029
exp001,0,0,2,130,50,42.1382858368763,26.8776638189141
exp001,0,0,2,131,90,88.8321341879436,81.789888432271
exp001,0,0,2,132,130,128.288725170036,136.541670001994
exp001,0,0,2,133,130,105.479936107808,118.534873176326
exp001,0,0,2,134,50,52.4858586162578,47.4030915833659
exp001,0,0,2,135,90,98.3300989193646,92.7928679793735
exp001,0,0,3,190,90,86.2297321131192,83.8917607545701
exp001,0,0,3,191,50,40.0216774100257,34.1431617418638
exp001,0,0,3,192,130,134.253161302898,135.322565759573
exp001,0,0,3,193,130,109.957186267241,105.891160791305
exp001,0,0,3,194,50,55.0282698673176,43.6779673771154
exp001,0,0,3,195,90,98.5417232909377,88.847565875103
exp001,0,0,3,196,90,102.194866140587,93.1019937726058
exp001,0,0,3,197,50,83.376447828904,63.3230610978384
exp001,0,0,3,198,130,152.132814771961,156.517775548512
exp001,0,0,3,199,130,109.568630419593,101.823999582586
exp001,0,0,3,200,50,52.2828548731513,41.8069579270448
exp001,0,0,3,201,90,98.5726824426338,84.3572622563803
exp001,0,0,3,202,90,109.736369606619,95.0696182124421
exp001,0,0,3,203,130,137.369922698746,139.271304945972
exp001,0,0,3,204,50,60.1201382822564,46.9442340914977
exp001,0,0,3,205,90,56.9669249387902,65.6038947482041
exp001,0,0,3,206,130,124.341620096941,119.243587162021
exp001,0,0,3,207,50,45.4678309710881,33.5819531598303
exp001,0,0,4,262,90,81.3045514451602,86.9679022939825
exp001,0,0,4,263,130,129.715469975213,138.726893086113
exp001,0,0,4,264,50,31.3962461345575,31.6872403696708
exp001,0,0,4,265,50,54.6516842618709,45.32870265211
exp001,0,0,4,266,90,97.3824382145353,93.0042350100259
exp001,0,0,4,267,130,142.277032874071,154.122725155637
exp001,0,0,4,268,50,39.2742137188683,38.0280233462351
exp001,0,0,4,269,90,91.1411750089514,85.3656242199528
exp001,0,0,4,270,130,134.42055213992,146.427327300338
exp001,0,0,4,271,50,29.556263006695,27.1396757354993
