participant,age,sex,group,version,points
exp001,26,M,30explicit,ie,3
exp002,24,F,30explicit,ie,3
exp003,19,F,30explicit,ei,3
exp004,25,F,30explicit,ie,3
exp005,21,F,30explicit,ei,3
exp006,20,F,30explicit,ie,0
exp007,19,F,30explicit,ei,3
exp008,19,F,30explicit,ie,3
exp009,19,M,30explicit,ei,3
exp010,25,M,30explicit,ie,3
exp011,18,F,30explicit,ei,1
exp012,23,M,30explicit,ie,3
exp013,22,F,30explicit,ei,3
exp014,23,F,30explicit,ie,1
exp015,21,M,30explicit,ei,3
exp016,18,F,30explicit,ie,3
exp017,19,M,30explicit,ei,3
exp018,26,F,30explicit,ie,3
exp019,19,M,30explicit,ei,1
exp020,18,F,30explicit,ie,1
exp021,25,M,30explicit,ei,3
