participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
imp001,0,0,1,46,130,112.423046280946,139.655315479648
imp001,0,0,1,47,90,79.4907910854921,93.589629752283
imp001,0,0,1,48,50,52.4689816058889,53.8004808895223
imp001,0,0,1,49,50,43.5521418304794,47.7897033954863
imp001,0,0,1,50,130,114.904830123006,132.993229653897
imp001,0,0,1,51,90,65.6604272378682,86.1503513089434
imp001,0,0,1,52,90,63.8131734705329,89.3937218577032
imp001,0,0,1,53,50,40.368231644646,46.3652238719642
imp001,0,0,1,54,130,115.829098156873,131.280424487097
imp001,0,0,1,55,50,48.7969683960738,49.0504967874136
imp001,0,0,1,56,130,112.427179029182,136.002795176833
imp001,0,0,1,57,90,63.9987230831093,92.3652985335157
imp001,0,0,1,58,50,47.2637541235586,47.3389219098684
imp001,0,0,1,59,130,133.883566623236,135.70435040359
imp001,0,0,1,60,90,79.8864108762383,95.7588665936119
imp001,0,0,1,61,90,84.1779534799144,96.079175720668
imp001,0,0,1,62,50,50.9511909132119,54.1834744722053
imp001,0,0,1,63,130,119.346357200436,134.175052834088
imp001,0,0,2,118,130,122.962688550678,135.395633077465
imp001,0,0,2,119,90,85.270363739719,91.9734939031627
imp001,0,0,2,120,50,44.5897235315081,46.280441172684
imp001,0,0,2,121,130,128.450111901634,133.330605902746
imp001,0,0,2,122,90,74.236848149786,88.3609030749523
imp001,0,0,2,123,50,54.30304871707,49.3494817733129
imp001,0,0,2,124,130,125.934725613532,135.40200792271
imp001,0,0,2,126,90,84.6042005642046,92.2947889500583
imp001,0,0,2,127,90,84.692637130937,97.3494046841395
imp001,0,0,2,128,130,121.256034461388,133.496795831006
imp001,0,0,2,129,50,42.8457632613787,52.8245895953052
imp001,0,0,2,130,50,58.4665963710377,46.8058258501407
imp001,0,0,2,131,90,87.4266040710392,89.2046565607056
imp001,0,0,2,132,130,121.663023309,131.616847281146
imp001,0,0,2,133,50,59.8420262467723,48.8809477057371
imp001,0,0,2,134,130,114.888098620804,133.705721567219
imp001,0,0,2,135,90,78.5884577518305,91.4435852592711
imp001,0,0,3,190,130,124.629975991623,131.351299576414
imp001,0,0,3,191,50,52.34133239911,54.0795893263985
imp001,0,0,3,192,90,82.8383213890819,94.0004202258124
imp001,0,0,3,193,90,77.383880222721,91.0878814353324
imp001,0,0,3,194,50,41.473720142106,49.7135071550722
imp001,0,0,3,195,130,120.661996859477,135.121170245663
imp001,0,0,3,196,50,52.6049114216268,53.1426526445684
imp001,0,0,3,197,90,91.6147913399287,93.3078075311276
imp001,0,0,3,198,130,128.359914032589,133.420381028099
imp001,0,0,3,199,90,79.9510373831931,93.5252088970591
imp001,0,0,3,200,50,41.5894185910419,50.65680318342
imp001,0,0,3,201,130,114.70026194828,129.908700828738
imp001,0,0,3,202,50,51.5752904004778,42.605192216985
imp001,0,0,3,203,130,116.005195524777,131.568756795799
imp001,0,0,3,204,90,74.0602835714424,97.0440230232274
imp001,0,0,3,205,90,82.1299183411777,94.6805496067911
imp001,0,0,3,206,50,35.3282034796853,47.6066923697132
imp001,0,0,3,207,130,130.845015467523,134.589097069015
imp001,0,0,4,262,50,49.4377016540074,52.9917454244732
imp001,0,0,4,263,90,92.9075051598971,91.6264167202293
imp001,0,0,4,264,130,128.917076131535,136.418788598994
imp001,0,0,4,265,90,68.8617085005771,89.9797477619092
imp001,0,0,4,266,50,44.4652532105883,54.0579893329086
imp001,0,0,4,267,130,133.774165108392,126.126669922614
imp001,0,0,4,268,50,38.719510583676,51.0112172458496
imp001,0,0,4,269,90,86.762117621866,90.6463425767577
imp001,0,0,4,270,130,136.849073786661,134.352690600936
imp001,0,0,4,271,50,43.9492952788922,49.0735183069092
imp001,0,0,4,272,90,95.7041398355921,99.3095163530861
imp001,0,0,4,273,130,123.575089528086,136.458160985482
imp001,0,0,4,274,90,75.3625944703305,90.7810743215031
imp001,0,0,4,275,130,122.798260481368,130.341908880941
imp001,0,0,4,276,50,38.8525208117552,50.0666487296915
imp001,0,0,4,277,90,91.1678475587568,110.051198672597
imp001,0,0,4,278,130,124.458784744926,130.679262686078
imp001,0,0,4,279,50,44.9684171654485,54.0677358222174
imp001,0,1,1,73,130,111.190993948456,132.469196742937
imp001,0,1,1,74,90,78.4697498037375,95.7336298508626
imp001,0,1,1,75,50,52.3224413935357,51.2785172739418
imp001,0,1,1,76,50,46.2458419268949,51.3143430165142
imp001,0,1,1,77,130,114.001575199241,134.489175846893
imp001,0,1,1,78,90,68.3021639533059,97.3099147462317
imp001,0,1,1,79,90,65.0382221922877,94.6155395901501
imp001,0,1,1,80,50,41.4131285064526,59.8319144163876
imp001,0,1,1,81,130,116.365547413624,135.457405789196
imp001,0,1,1,82,50,49.0555408345461,53.4640172865585
imp001,0,1,1,83,130,113.748944476264,132.531430196767
imp001,0,1,1,84,90,67.300140071863,99.1799065630529
