participant,age,sex,group,version,points
imp001,19,F,30implicit,ei,1
imp002,20,F,30implicit,ei,1
imp003,19,F,30implicit,ei,0
imp004,18,F,30implicit,ie,1
imp005,18,F,30implicit,ie,1
imp006,27,F,30implicit,ie,1
imp007,18,F,30implicit,ei,1
imp008,20,M,30implicit,ie,3
imp009,20,F,30implicit,ei,0
imp010,27,F,30implicit,ie,0
imp011,21,F,30implicit,ei,1
imp012,23,F,30implicit,ie,1
imp013,18,M,30implicit,ei,0
imp014,19,M,30implicit,ie,3
imp015,20,F,30implicit,ei,1
imp016,18,M,30implicit,ie,1
imp017,22,F,30implicit,ei,1
imp018,22,M,30implicit,ie,3
imp019,19,F,30implicit,ei,1
imp020,18,M,30implicit,ie,1
