group,participant,rotated_b,passive_b,handangle_deg,bias_deg
cursorjump,cur001,0,0,50,-6.01973373967903
cursorjump,cur001,0,0,90,0.998031710000798
cursorjump,cur001,0,0,130,8.38195970215803
cursorjump,cur002,0,0,50,-11.1532658670656
cursorjump,cur002,0,0,90,-3.22342664169246
cursorjump,cur002,0,0,130,7.73873054498327
cursorjump,cur003,0,0,50,-11.9404120913372
cursorjump,cur003,0,0,90,-4.88424846790173
cursorjump,cur003,0,0,130,0.461300180855596
cursorjump,cur004,0,0,50,-3.20683872255554
cursorjump,cur004,0,0,90,3.23114908756962
cursorjump,cur004,0,0,130,2.45478035392979
cursorjump,cur005,0,0,50,3.38797030195673
cursorjump,cur005,0,0,90,5.94154710566271
cursorjump,cur005,0,0,130,10.4394664530354
cursorjump,cur006,0,0,50,-7.59913341515287
cursorjump,cur006,0,0,90,0.971905872903916
cursorjump,cur006,0,0,130,7.89416678170725
cursorjump,cur007,0,0,50,1.8481397264192
cursorjump,cur007,0,0,90,3.50821221953856
cursorjump,cur007,0,0,130,3.34756641912686
cursorjump,cur008,0,0,50,-16.0593432288016
cursorjump,cur008,0,0,90,-2.42443159752295
cursorjump,cur008,0,0,130,6.65436772173818
cursorjump,cur009,0,0,50,-2.76138460135993
cursorjump,cur009,0,0,90,-0.911207637907527
cursorjump,cur009,0,0,130,-0.677165474314068
cursorjump,cur010,0,0,50,-5.57753223673915
cursorjump,cur010,0,0,90,4.17773479099509
cursorjump,cur010,0,0,130,13.1107790307108
cursorjump,cur011,0,0,50,-16.474611091427
cursorjump,cur011,0,0,90,-12.6721504746983
cursorjump,cur011,0,0,130,0.358293513936841
cursorjump,cur012,0,0,50,-19.9032949096899
cursorjump,cur012,0,0,90,-9.6047934678999
cursorjump,cur012,0,0,130,1.21387407166852
cursorjump,cur013,0,0,50,3.96382348636413
cursorjump,cur013,0,0,90,3.95148002794436
cursorjump,cur013,0,0,130,4.58768974366119
cursorjump,cur014,0,0,50,-7.18007670132936
cursorjump,cur014,0,0,90,-5.52627713774726
cursorjump,cur014,0,0,130,3.10121798846959
cursorjump,cur015,0,0,50,-4.07894418647206
cursorjump,cur015,0,0,90,3.88339375638386
cursorjump,cur015,0,0,130,9.94384553163978
cursorjump,cur016,0,0,50,-6.21685958367782
cursorjump,cur016,0,0,90,1.05778151531194
cursorjump,cur016,0,0,130,9.92256214477658
cursorjump,cur017,0,0,50,-13.2801808428287
cursorjump,cur017,0,0,90,-5.01190738380173
cursorjump,cur017,0,0,130,1.49804908688348
cursorjump,cur018,0,0,50,-3.23077995823591
cursorjump,cur018,0,0,90,-2.86032387092946
cursorjump,cur018,0,0,130,-2.47131295097145
cursorjump,cur019,0,0,50,2.01514452141167
cursorjump,cur019,0,0,90,4.86251854439808
cursorjump,cur019,0,0,130,6.01593558201268
cursorjump,cur020,0,0,50,-1.63639583693766
cursorjump,cur020,0,0,90,4.69635755020089
cursorjump,cur020,0,0,130,7.72673732504283
cursorjump,cur001,1,0,50,-16.9757099610071
cursorjump,cur001,1,0,90,-11.2194052313792
cursorjump,cur001,1,0,130,-0.974777310550569
cursorjump,cur002,1,0,50,-17.5562172416122
cursorjump,cur002,1,0,90,-7.95012862756261
cursorjump,cur002,1,0,130,0.744826384927403
cursorjump,cur003,1,0,50,-17.9937669751925
cursorjump,cur003,1,0,90,-12.6378764285474
cursorjump,cur003,1,0,130,-6.74236858639437
cursorjump,cur004,1,0,50,-15.2267531816198
cursorjump,cur004,1,0,90,-7.32102447867695
cursorjump,cur004,1,0,130,-2.11665884295221
cursorjump,cur005,1,0,50,-3.93734615935579
cursorjump,cur005,1,0,90,-0.40154841422578
cursorjump,cur005,1,0,130,3.43057419243341
cursorjump,cur006,1,0,50,-10.6174391521047
cursorjump,cur006,1,0,90,-5.96221714378291
cursorjump,cur006,1,0,130,1.30276005126299
cursorjump,cur007,1,0,50,-7.30307644023043
cursorjump,cur007,1,0,90,-4.4364901964976
cursorjump,cur007,1,0,130,-3.41635708039303
cursorjump,cur008,1,0,50,-31.5246864788566
cursorjump,cur008,1,0,90,-4.75698665963431
cursorjump,cur008,1,0,130,6.75012816297349
cursorjump,cur009,1,0,50,-1.24239003845205
cursorjump,cur009,1,0,90,-3.29852557460622
cursorjump,cur009,1,0,130,0.193240630329855
cursorjump,cur010,1,0,50,-6.56939808126117
cursorjump,cur010,1,0,90,3.5047426135496
cursorjump,cur010,1,0,130,11.4076176065152
cursorjump,cur011,1,0,50,-21.6397244097917
cursorjump,cur011,1,0,90,-8.25707077470884
cursorjump,cur011,1,0,130,-3.13723815974154
cursorjump,cur012,1,0,50,-10.1576603896506
cursorjump,cur012,1,0,90,-11.1640315906004
cursorjump,cur012,1,0,130,-4.18573179416594
cursorjump,cur013,1,0,50,-6.61149098481934
cursorjump,cur013,1,0,90,-7.05976520837797
cursorjump,cur013,1,0,130,-7.28705557078233
cursorjump,cur014,1,0,50,-13.9176339879185
cursorjump,cur014,1,0,90,-17.2872705012477
cursorjump,cur014,1,0,130,-14.0226753299485
cursorjump,cur015,1,0,50,-10.8464675643152
cursorjump,cur015,1,0,90,-0.676233620274977
cursorjump,cur015,1,0,130,1.20219532189111
cursorjump,cur016,1,0,50,-15.0913279069141
cursorjump,cur016,1,0,90,-6.94309180891373
cursorjump,cur016,1,0,130,-9.76023197457665
cursorjump,cur017,1,0,50,-14.1981256442766
cursorjump,cur017,1,0,90,-6.45033927066053
cursorjump,cur017,1,0,130,-1.29233298080958
cursorjump,cur018,1,0,50,-3.12873417659978
cursorjump,cur018,1,0,90,-3.30263198121543
cursorjump,cur018,1,0,130,-0.247233257125868
cursorjump,cur019,1,0,50,-0.431605803361658
cursorjump,cur019,1,0,90,-2.60987337860952
cursorjump,cur019,1,0,130,-6.43960822881578
cursorjump,cur020,1,0,50,0.144813743796401
cursorjump,cur020,1,0,90,1.04405424415955
cursorjump,cur020,1,0,130,2.2654714822819
cursorjump,cur001,0,1,50,-7.1664731794792
cursorjump,cur001,0,1,90,-0.302366655596183
cursorjump,cur001,0,1,130,9.57206125299557
cursorjump,cur002,0,1,50,-15.0682433769979
cursorjump,cur002,0,1,90,-3.2751601239883
cursorjump,cur002,0,1,130,9.34905217206637
cursorjump,cur003,0,1,50,-9.92716115650055
cursorjump,cur003,0,1,90,-6.28593489520352
cursorjump,cur003,0,1,130,1.57059672071408
cursorjump,cur004,0,1,50,-9.29257676654243
cursorjump,cur004,0,1,90,-1.4823913083788
cursorjump,cur004,0,1,130,1.09734099957464
cursorjump,cur005,0,1,50,3.19262195080283
cursorjump,cur005,0,1,90,6.41886371943846
cursorjump,cur005,0,1,130,10.2816758596955
cursorjump,cur006,0,1,50,-18.216620557456
cursorjump,cur006,0,1,90,-7.84979399178609
cursorjump,cur006,0,1,130,8.65392898176196
cursorjump,cur007,0,1,50,1.62842383686046
cursorjump,cur007,0,1,90,3.17356848307246
cursorjump,cur007,0,1,130,0.517023284681133
cursorjump,cur008,0,1,50,-17.4874175590622
cursorjump,cur008,0,1,90,-2.20878222954159
cursorjump,cur008,0,1,130,8.03031928011809
cursorjump,cur009,0,1,50,-1.08619104284442
cursorjump,cur009,0,1,90,1.43607814799618
cursorjump,cur009,0,1,130,1.00079360856907
cursorjump,cur010,0,1,50,-10.7915655388617
cursorjump,cur010,0,1,90,1.60657661678912
cursorjump,cur010,0,1,130,12.7159779857914
cursorjump,cur011,0,1,50,-20.7228705995316
cursorjump,cur011,0,1,90,-12.5626335796844
cursorjump,cur011,0,1,130,1.1210823012848
cursorjump,cur012,0,1,50,-23.8999085473361
cursorjump,cur012,0,1,90,-9.29499451949321
cursorjump,cur012,0,1,130,-0.949984437467101
cursorjump,cur013,0,1,50,3.2867478989184
cursorjump,cur013,0,1,90,3.02503827339939
cursorjump,cur013,0,1,130,3.6419229131199
cursorjump,cur014,0,1,50,-8.05322374133282
cursorjump,cur014,0,1,90,-3.9898898123561
cursorjump,cur014,0,1,130,-0.502565598506218
cursorjump,cur015,0,1,50,-7.64674016476845
cursorjump,cur015,0,1,90,1.11137242350512
cursorjump,cur015,0,1,130,7.3674868050168
cursorjump,cur016,0,1,50,-14.9455550794009
cursorjump,cur016,0,1,90,-4.88168663363929
cursorjump,cur016,0,1,130,17.7804517397222
cursorjump,cur017,0,1,50,-16.2493040662266
cursorjump,cur017,0,1,90,-2.12159774706775
cursorjump,cur017,0,1,130,3.26637930776683
cursorjump,cur018,0,1,50,-3.86027003145266
cursorjump,cur018,0,1,90,-1.3457889227623
cursorjump,cur018,0,1,130,-0.607752495846676
cursorjump,cur019,0,1,50,-2.22267957379703
cursorjump,cur019,0,1,90,-0.211932248233182
