group,participant,rotated_b,passive_b,handangle_deg,bias_deg
handview,han001,0,0,50,1.17920251730585
handview,han001,0,0,90,-0.981625461080274
handview,han001,0,0,130,-1.65732809603193
handview,han002,0,0,50,4.85254738133523
handview,han002,0,0,90,-3.30091250675562
handview,han002,0,0,130,-7.71981908751822
handview,han003,0,0,50,-1.13819848992588
handview,han003,0,0,90,-1.04238230953957
handview,han003,0,0,130,1.00443405499345
handview,han004,0,0,50,-4.12252814560131
handview,han004,0,0,90,-1.64115204290062
handview,han004,0,0,130,0.980359348879658
handview,han005,0,0,50,1.68310200081778
handview,han005,0,0,90,0.394225109730693
handview,han005,0,0,130,-2.9315567935859
handview,han006,0,0,50,-2.69011372415104
handview,han006,0,0,90,-3.32464100711266
handview,han006,0,0,130,-4.17517764457107
handview,han007,0,0,50,7.5724712900772
handview,han007,0,0,90,3.7285447664816
handview,han007,0,0,130,-1.53824588626753
handview,han008,0,0,50,5.62754706238855
handview,han008,0,0,90,-0.351275571817584
handview,han008,0,0,130,-5.37230454977884
handview,han009,0,0,50,-9.26142016541018
handview,han009,0,0,90,-0.895823521877304
handview,han009,0,0,130,-1.2778694210705
handview,han010,0,0,50,-7.48225751250749
handview,han010,0,0,90,-4.69397547704964
handview,han010,0,0,130,0.955747331713905
handview,han011,0,0,50,-0.862047719288532
handview,han011,0,0,90,-4.76245436201732
handview,han011,0,0,130,-6.8157399825897
handview,han012,0,0,50,1.84173578097882
handview,han012,0,0,90,2.90607821656691
handview,han012,0,0,130,2.48209230929131
handview,han013,0,0,50,4.42062547107376
handview,han013,0,0,90,-0.0350927382664618
handview,han013,0,0,130,-6.20196109702193
handview,han014,0,0,50,0.883680269974652
handview,han014,0,0,90,2.6051676034143
handview,han014,0,0,130,3.90640615314286
handview,han015,0,0,50,4.99034702848804
handview,han015,0,0,90,2.98009308664972
handview,han015,0,0,130,1.34989249414306
handview,han016,0,0,50,8.4866712970317
handview,han016,0,0,90,-0.930860198123137
handview,han016,0,0,130,-2.58027244511954
handview,han017,0,0,50,9.51251646542766
handview,han017,0,0,90,-0.418579726702371
handview,han017,0,0,130,-11.137495735354
handview,han018,0,0,50,-11.6555104490598
handview,han018,0,0,90,-3.51691515257811
handview,han018,0,0,130,-3.88940816665803
handview,han019,0,0,50,5.46447320534707
handview,han019,0,0,90,0.827649211758352
handview,han019,0,0,130,-0.875826068766299
handview,han020,0,0,50,6.0907917559855
handview,han020,0,0,90,2.1110540746707
handview,han020,0,0,130,-5.87394693386358
handview,han021,0,0,50,6.57086626498198
handview,han021,0,0,90,1.77835228554129
handview,han021,0,0,130,-4.817146735787
handview,han022,0,0,50,8.45887507113021
handview,han022,0,0,90,-3.21567347639369
handview,han022,0,0,130,-10.3020567232666
handview,han023,0,0,50,0.00534600693319096
handview,han023,0,0,90,4.41263505214509
handview,han023,0,0,130,1.73000385532997
handview,han024,0,0,50,3.77802345508573
handview,han024,0,0,90,3.63615967908879
handview,han024,0,0,130,-3.19115247867641
handview,han025,0,0,50,6.92441076775296
handview,han025,0,0,90,4.17739651917991
handview,han025,0,0,130,-1.44910226649711
handview,han026,0,0,50,6.96564770126714
handview,han026,0,0,90,1.65031038860849
handview,han026,0,0,130,-0.799495944213506
handview,han027,0,0,50,1.05875831656748
handview,han027,0,0,90,-3.91649988515719
handview,han027,0,0,130,-12.1298806558594
handview,han028,0,0,50,4.83508202239415
handview,han028,0,0,90,2.84666553034273
handview,han028,0,0,130,-2.26532405584175
handview,han029,0,0,50,3.7051907693439
handview,han029,0,0,90,-0.0672502631765558
handview,han029,0,0,130,1.7230042593969
handview,han001,1,0,50,0.66962199418788
handview,han001,1,0,90,-4.64758500555586
handview,han001,1,0,130,-7.25785443078664
handview,han002,1,0,50,10.4039841988276
handview,han002,1,0,90,0.830368936540019
handview,han002,1,0,130,-10.1384673732563
handview,han003,1,0,50,3.06381518082701
handview,han003,1,0,90,-0.811359693607496
handview,han003,1,0,130,-2.11316569765229
handview,han004,1,0,50,-1.97433299284917
handview,han004,1,0,90,-4.53540429082591
handview,han004,1,0,130,-7.34069789711879
handview,han005,1,0,50,-1.48693369881881
handview,han005,1,0,90,-2.54676563359035
handview,han005,1,0,130,-7.12278327326585
handview,han006,1,0,50,-8.67988618609668
handview,han006,1,0,90,-9.43967722301984
handview,han006,1,0,130,-7.30161281655765
handview,han007,1,0,50,9.10648295046377
handview,han007,1,0,90,4.13829188885014
handview,han007,1,0,130,-1.14966800459547
handview,han008,1,0,50,5.77779135642612
handview,han008,1,0,90,1.43270873040004
handview,han008,1,0,130,-8.43424235526138
handview,han009,1,0,50,-21.3833596130092
handview,han009,1,0,90,-19.9450426832904
handview,han009,1,0,130,-18.4084380655908
handview,han010,1,0,50,-14.9098836912012
handview,han010,1,0,90,-15.8135476079433
handview,han010,1,0,130,-11.9626308618595
handview,han011,1,0,50,0.438854899180204
handview,han011,1,0,90,-3.10916760722437
handview,han011,1,0,130,-4.80025715177111
handview,han012,1,0,50,5.26794305373322
handview,han012,1,0,90,1.50464277953311
handview,han012,1,0,130,-3.21856011065883
handview,han013,1,0,50,5.77823386514207
