participant,rotated,passive,block,trial,arc,hand_angle,tap_angle
han001,0,0,1,46,50,59.9362191493469,58.61391953548
han001,0,0,1,47,130,147.994616791917,147.496765971674
han001,0,0,1,48,90,79.24357199551,76.4796344924304
han001,0,0,1,49,50,73.3727090285251,74.3966789205552
han001,0,0,1,50,130,110.594605014729,105.102624883124
han001,0,0,1,51,90,104.175038568083,104.233039242461
han001,0,0,1,52,50,52.7089937627505,51.6152649066706
han001,0,0,1,53,90,88.6772902315583,87.8747535435969
han001,0,0,1,54,130,113.878059542102,108.58946363275
han001,0,0,1,55,50,59.4580464304138,59.3759101168775
han001,0,0,1,56,130,123.864224234024,125.876648465224
han001,0,0,1,57,90,95.1013164077607,90.0940962246573
han001,0,0,1,58,130,129.069334860006,123.851014515185
han001,0,0,1,59,90,91.3461209339397,92.5843158605778
han001,0,0,1,60,50,52.2391011286315,61.9893674754709
han001,0,0,1,61,50,46.8509627098281,46.168768997446
han001,0,0,1,62,90,94.3613114427282,90.5395973971888
han001,0,0,1,63,130,136.682683071603,148.586293751446
han001,0,0,2,118,130,136.599697261378,138.277944653124
han001,0,0,2,119,50,52.0769369299493,56.5633817767576
han001,0,0,2,120,90,111.480062868823,111.801391927606
han001,0,0,2,121,90,77.5933084541602,74.7481041971622
han001,0,0,2,122,50,66.9479774276037,68.3705460127974
han001,0,0,2,123,130,130.669809169953,133.638797923253
han001,0,0,2,124,130,119.391681385457,113.182039032081
han001,0,0,2,125,90,93.6170079257446,89.9763752697961
han001,0,0,2,126,50,66.3409823007709,69.9351140952651
han001,0,0,2,127,130,108.01737476956,110.697159391811
han001,0,0,2,128,90,90.5456575934157,85.6045931377804
han001,0,0,2,129,50,66.2420362748694,73.0418370726868
han001,0,0,2,130,50,49.5783604861914,53.0250496118165
han001,0,0,2,131,130,120.538789389967,111.429969663616
han001,0,0,2,132,90,90.9723644315738,88.5549114665762
han001,0,0,2,133,50,57.0927707681738,54.4421278198938
han001,0,0,2,134,130,130.424667893005,128.722270629675
han001,0,0,2,135,90,98.6846403325284,103.239934723249
han001,0,0,3,190,50,68.7235528017101,69.6401464520292
han001,0,0,3,191,90,73.9058560102973,72.9335416701139
han001,0,0,3,192,130,123.354599129623,128.484974949366
han001,0,0,3,193,130,123.293899063297,127.844859356983
han001,0,0,3,194,50,55.0475219007958,58.2915586007345
han001,0,0,3,195,90,96.2309510677455,105.033880778471
han001,0,0,3,196,130,113.015981216163,110.717428925221
han001,0,0,3,197,50,54.3395224577372,57.7325719513413
han001,0,0,3,198,90,71.5839273842424,72.9634467920561
han001,0,0,3,199,50,67.4692383000175,66.5316652975565
han001,0,0,3,200,130,132.739489388213,126.85736649817
han001,0,0,3,201,90,110.075965786616,105.951238838942
han001,0,0,3,202,50,49.9557659203187,41.7915787095588
han001,0,0,3,203,90,86.5478277838122,86.0535301348256
han001,0,0,3,204,130,118.823860632125,103.472394534339
han001,0,0,3,205,50,55.9536577775804,60.2088084921953
han001,0,0,3,206,130,118.638149353561,109.786543094629
han001,0,0,3,207,90,102.76920254533,94.9283382471847
han001,0,0,4,262,130,108.784540938871,106.951183310971
han001,0,0,4,263,50,68.5635996755742,72.2328151100286
han001,0,0,4,264,90,84.9274996671732,86.3372110016096
han001,0,0,4,265,90,106.682839066111,106.036645684112
han001,0,0,4,266,130,112.120908131015,113.636328659248
han001,0,0,4,267,50,70.119901208161,70.2649130195155
han001,0,0,4,268,130,116.634542430268,112.136673693236
han001,0,0,4,269,50,69.7561004394753,63.3350065884676
han001,0,0,4,270,90,79.8590863757514,75.3703918940552
han001,0,0,4,271,90,107.916585496525,106.968265894592
han001,0,0,4,272,50,52.4885591846831,50.2605905063602
han001,0,0,4,273,130,106.29599238671,104.546109876507
han001,0,0,4,274,90,102.119798763824,110.232331264071
han001,0,0,4,275,50,57.8774814845878,67.9807540376631
han001,0,0,4,276,130,109.096014229322,105.385748076444
han001,0,0,4,277,90,116.271187925937,111.050736126836
han001,0,0,4,278,50,67.2789664981869,61.3079407464647
