participant,age,sex,group,version,points
han001,20,F,handview,ie,3
han002,23,M,handview,ei,NA
han003,18,F,handview,ie,0
han004,24,M,handview,ei,3
han005,20,F,handview,ie,3
han006,21,M,handview,ei,3
han007,18,F,handview,ie,3
han008,20,F,handview,ei,3
han009,17,F,handview,ie,3
han010,30,F,handview,ei,1
han011,19,F,handview,ie,3
han012,19,F,handview,ei,3
han013,21,F,handview,ie,3
han014,18,F,handview,ei,3
han015,23,F,handview,ie,1
han016,18,M,handview,ei,3
han017,17,F,handview,ie,3
han018,19,F,handview,ei,3
han019,19,F,handview,ie,3
han020,19,F,handview,ei,3
han021,18,F,handview,ie,3
han022,20,F,handview,ei,3
han023,18,F,handview,ie,3
han024,18,F,handview,ei,3
han025,18,F,handview,ie,0
han026,33,F,handview,ei,3
han027,18,M,handview,ie,3
han028,17,F,handview,ei,3
han029,18,M,handview,ei,3
