participant,age,sex,group,version,points
ca_0205,26,M,30explicit,ie,3
cl_1105,24,F,30explicit,ie,3
hr_1305,19,F,30explicit,ei,3
sk_1705,25,F,30explicit,ie,3
ps_1705,21,F,30explicit,ei,3
sj_1805,20,F,30explicit,ie,0
hf_1805,19,F,30explicit,ei,3
ns_1905,19,F,30explicit,ie,3
mi_1905,19,M,30explicit,ei,3
ka_1905,25,M,30explicit,ie,3
ab_1905,18,F,30explicit,ei,1
dp_2005,23,M,30explicit,ie,3
ho_2405,22,F,30explicit,ei,3
so_2405,23,F,30explicit,ie,1
mr_2405,21,M,30explicit,ei,3
ra_2505,18,F,30explicit,ie,3
jw_2505,19,M,30explicit,ei,3
ah_2505,26,F,30explicit,ie,3
jm_2605,19,M,30explicit,ei,1
ac_2605,18,F,30explicit,ie,1
dr_2705,25,M,30explicit,ei,3
gs_3105,19,F,30implicit,ei,1
bd_3105,20,F,30implicit,ei,1
pa_0416,19,F,30implicit,ei,0
pe_0416,18,F,30implicit,ie,1
na_1601,18,F,30implicit,ie,1
sm_1601,27,F,30implicit,ie,1
as_1601,18,F,30implicit,ei,1
ag_0906,20,M,30implicit,ie,3
az_1306,20,F,30implicit,ei,0
lw_1306,27,F,30implicit,ie,0
nj_1406,21,F,30implicit,ei,1
sa_1406,23,F,30implicit,ie,1
ay_1506,18,M,30implicit,ei,0
bh_1506,19,M,30implicit,ie,3
ma_1506,20,F,30implicit,ei,1
ja_1606,18,M,30implicit,ie,1
cf_1706,22,F,30implicit,ei,1
ec_1706,22,M,30implicit,ie,3
fs_1011,19,F,30implicit,ei,1
zw_2609,18,M,30implicit,ie,1
mc_2110,19,F,cursorjump,ie,1
ms_2410,19,M,cursorjump,ei,1
sk_2410,19,F,cursorjump,ie,1
fk_2510,19,F,cursorjump,ei,1
sm_2510,18,F,cursorjump,ie,0
ps_2610,21,F,cursorjump,ei,1
ja_2610,21,M,cursorjump,ie,3
jl_0211,26,M,cursorjump,ei,3
ns_1311,19,F,cursorjump,ei,3
oi_2006,18,F,cursorjump,ie,3
pa_2006,20,M,cursorjump,ei,3
pn_2106,42,F,cursorjump,ie,1
cr_2106,29,F,cursorjump,ei,3
cr_2206,26,F,cursorjump,ie,3
jy_2206,20,M,cursorjump,ie,3
ar_1908,23,M,cursorjump,ei,3
cp_1201,18,F,cursorjump,ie,3
ls_1201,19,F,cursorjump,ei,3
rk_1201,21,F,cursorjump,ie,3
va_0202,18,F,cursorjump,ei,3
bb_3233,20,F,handview,ie,3
rg_0410,23,M,handview,ei,NA
bd_3235,18,F,handview,ie,0
bc_3234,24,M,handview,ei,3
be_3236,20,F,handview,ie,3
bf_3237,21,M,handview,ei,3
bg_3238,18,F,handview,ie,3
bh_3239,20,F,handview,ei,3
bi_3240,17,F,handview,ie,3
bj_3241,30,F,handview,ei,1
bk_3242,19,F,handview,ie,3
bl_3243,19,F,handview,ei,3
bm_3244,21,F,handview,ie,3
bn_3245,18,F,handview,ei,3
bo_3246,23,F,handview,ie,1
bp_3247,18,M,handview,ei,3
bq_3248,17,F,handview,ie,3
br_3249,19,F,handview,ei,3
bs_3250,19,F,handview,ie,3
bt_3251,19,F,handview,ei,3
bu_3252,18,F,handview,ie,3
bv_3253,20,F,handview,ei,3
bw_3254,18,F,handview,ie,3
bx_3255,18,F,handview,ei,3
by_3256,18,F,handview,ie,0
bz_3257,33,F,handview,ei,3
ca_3259,18,M,handview,ie,3
cb_3260,17,F,handview,ei,3
cc_3261,18,M,handview,ei,3
